	json	bson	cbor	yaml	ber-asn1	toml 0.4
String	yes	yes	yes	yes	yes	yes
Number	yes	yes	yes	yes	yes	yes
null	yes	yes	yes	yes	yes	no
Boolean	yes	yes	yes	yes	yes	yes
datetime	no	yes	[1]	[2]	yes	yes
bytestr	no	yes	yes	[3]	yes	no
tagged	no	no	yes	yes	yes	no


[1] - tagged value with tag 0 or 1
[2] - tagged value with tag tag:yaml.org,2002:timestamp 
[3] - tagged value with tag tag:yaml.org,2002:binary


datetime - don't know which representation to use
bytestr - Array[Byte]?

